Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Beruf;Partei_KurzBez;Partei_Bez;Gewählt_Stimmenart;Gewählt_Land;Gewählt_Wahlkreis_Nr;Gewählt_Wahlkreis_Bez;Gewählt_Erststimmenanteil;Gewählt_Liste_Platz;Kandidierte-auch_Land;Kandidierte-auch_Wahlkreis_Nr;Kandidierte-auch_Liste_Platz;Wiedergewählt
Dr.;von;Abercron;Michael;m;1952;Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer;CDU;Christlich Demokratische Union Deutschlands;E;SH;7;Pinneberg;39,7;;SH;;10;
;;Achelwilm;Doris Maria;w;1976;Angestellte;DIE LINKE;DIE LINKE;Z;HB;;;;1;;;;
;;Aggelidis;Grigorios;m;1965;Vermögensverwalter;FDP;Freie Demokratische Partei;Z;NI;;;;3;NI;43;;
;;Akbulut;Gökay;w;1982;Sozialwissenschaftlerin;DIE LINKE;DIE LINKE;Z;BW;;;;3;BW;275;;
;;Albani;Stephan;m;1968;MdB / Geschäftsführer;CDU;Christlich Demokratische Union Deutschlands;Z;NI;;;;6;NI;27;;X
;;Alt;Renata;w;1965;Chemieingenieurin;FDP;Freie Demokratische Partei;Z;BW;;;;7;BW;262;;
;;Altenkamp;Norbert Maria;m;1972;Bürgermeister;CDU;Christlich Demokratische Union Deutschlands;E;HE;181;Main-Taunus;41,9;;HE;;21;
;;Altmaier;Peter;m;1958;Jurist;CDU;Christlich Demokratische Union Deutschlands;E;SL;297;Saarlouis;38;;SL;;1;X
;;Amthor;Philipp;m;1992;Jurist;CDU;Christlich Demokratische Union Deutschlands;E;MV;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;31,2;;MV;;6;
;;Amtsberg;Luise;w;1984;MdB / Islamwissenschaftlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;SH;;;;1;SH;5;;X
;;Andreae;Kerstin;w;1968;Dipl.-Volkswirtin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;1;BW;281;;X
;;Annen;Niels;m;1973;Historiker;SPD;Sozialdemokratische Partei Deutschlands;E;HH;20;Hamburg-Eimsbüttel;31,6;;HH;;4;X
;;Arndt-Brauer;Ingrid;w;1961;MdB / Dipl.-Kauffrau / Dipl.-Soziologin;SPD;Sozialdemokratische Partei Deutschlands;Z;NW;;;;14;NW;124;;X
;;Aschenberg-Dugnus;Christine;w;1959;Rechtsanwältin;FDP;Freie Demokratische Partei;Z;SH;;;;3;SH;4;;
;;Auernhammer;Artur;m;1963;MdB / Landwirtschaftsmeister;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;241;Ansbach;44,3;;BY;;38;X
;;Aumer;Peter;m;1976;Dipl.-Betriebswirt (FH);CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;233;Regensburg;40,1;;;;;
;;Badum;Lisa Hildegard;w;1983;Politikwissenschaftlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;11;BY;236;;
;;Baehrens;Heike;w;1955;MdB / Diakonin;SPD;Sozialdemokratische Partei Deutschlands;Z;BW;;;;13;BW;263;;X
;;Baerbock;Annalena;w;1980;Völkerrechtlerin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BB;;;;1;BB;61;;X
;;Bahr;Ulrike;w;1964;MdB;SPD;Sozialdemokratische Partei Deutschlands;Z;BY;;;;4;BY;252;;X
;;Bär;Dorothee;w;1978;MdB;CSU;Christlich-Soziale Union in Bayern e.V.;E;BY;248;Bad Kissingen;51,1;;BY;;3;X
;;Bareiß;Thomas;m;1975;MdB;CDU;Christlich Demokratische Union Deutschlands;E;BW;295;Zollernalb – Sigmaringen;45;;;;;X
Dr.;;Barley;Katarina;w;1968;MdB / Juristin;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;3;RP;203;;X
;;Barnett;Doris;w;1953;MdB / Juristin;SPD;Sozialdemokratische Partei Deutschlands;Z;RP;;;;5;RP;207;;X
;;Barrientos Krauss;Simone;w;1963;Verlegerin;DIE LINKE;DIE LINKE;Z;BY;;;;5;BY;251;;
;;Barthle;Norbert;m;1952;MdB / parl. Staatssekretär;CDU;Christlich Demokratische Union Deutschlands;E;BW;269;Backnang – Schwäbisch Gmünd;41,2;;;;;X
Dr.;;Bartke;Matthias;m;1959;Jurist;SPD;Sozialdemokratische Partei Deutschlands;E;HH;19;Hamburg-Altona;28,9;;HH;;6;X
;;Bartol;Sören;m;1974;Dipl.-Politologe;SPD;Sozialdemokratische Partei Deutschlands;E;HE;171;Marburg;35,7;;HE;;5;X
Dr.;;Bartsch;Dietmar Gerhard;m;1958;MdB;DIE LINKE;DIE LINKE;Z;MV;;;;1;MV;14;;X
;;Bas;Bärbel;w;1968;MdB;SPD;Sozialdemokratische Partei Deutschlands;E;NW;115;Duisburg I;38,3;;NW;;32;X
;;Bauer;Nicole;w;1987;Dipl.-Wirtschaftsingenieurin (FH);FDP;Freie Demokratische Partei;Z;BY;;;;11;BY;228;;
Dr.;;Baumann;Bernd;m;1958;Kaufmann;AfD;Alternative für Deutschland;Z;HH;;;;1;HH;19;;
;;Bause;Margarete;w;1959;MdL;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BY;;;;9;BY;218;;
Dr.;;Bayaz;Danyal;m;1983;Unternehmensberater;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Z;BW;;;;12;BW;278;;
;;Bayram;Canan;w;1966;Rechtsanwältin;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;E;BE;83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;26,3;;;;;
;;Beeck;Jens;m;1969;Rechtsanwalt;FDP;Freie Demokratische Partei;Z;NI;;;;2;NI;31;;
;in der;Beek;Olaf;m;1967;selbst. Unternehmer;FDP;Freie Demokratische Partei;Z;NW;;;;19;NW;140;;
;;Beer;Nicola Gertrud Ruth;w;1970;Rechtsanwältin;FDP;Freie Demokratische Partei;Z;HE;;;;1;HE;182;;
;;Beermann;Maik;m;1981;MdB / Sparkassenbetriebswirt;CDU;Christlich Demokratische Union Deutschlands;E;NI;40;Nienburg II – Schaumburg;40,6;;NI;;26;X
;;Behrens;Manfred;m;1956;MdB;CDU;Christlich Demokratische Union Deutschlands;E;ST;67;Börde – Jerichower Land;37,8;;ST;;5;X
;;Bellmann;Veronika;w;1960;MdB;CDU;Christlich Demokratische Union Deutschlands;E;SN;161;Mittelsachsen;32,4;;SN;;7;X
;;Benning;Sybille;w;1961;Dipl.-Ing. Landschaftsplanung;CDU;Christlich Demokratische Union Deutschlands;E;NW;129;Münster;37,2;;NW;;28;X
Dr.;;Berghegger;André;m;1972;MdB / Jurist;CDU;Christlich Demokratische Union Deutschlands;E;NI;38;Osnabrück-Land;45,6;;NI;;22;X
;;Bernhard;Marc;m;1972;Rechtsanwalt / Geschäftsführer;AfD;Alternative für Deutschland;Z;BW;;;;9;BW;271;;
;;Bernstein;Melanie;w;1976;Kulturwissenschaftlerin;CDU;Christlich Demokratische Union Deutschlands;E;SH;6;Plön – Neumünster;40,7;;SH;;8;
;;Bernstiel;Christoph;m;1984;Kommunikationsberater;CDU;Christlich Demokratische Union Deutschlands;E;ST;72;Halle;27,1;;ST;;7;
;;Beutin;Lorenz Gösta;m;1978;Historiker;DIE LINKE;DIE LINKE;Z;SH;;;;2;SH;6;;
